state,to_move,layer,P(X wins),P(O wins),P(draws)
000000000,X,0,0.584920634920635,0.28809523809523807,0.126984126984127
000000001,O,1,0.6071428571428572,0.2642857142857143,0.1285714285714286
000000010,O,1,0.5357142857142857,0.33571428571428574,0.1285714285714286
000000100,O,1,0.6071428571428572,0.2642857142857143,0.1285714285714286
000001000,O,1,0.5357142857142858,0.3357142857142857,0.1285714285714286
000010000,O,1,0.692857142857143,0.19285714285714287,0.11428571428571431
000100000,O,1,0.5357142857142857,0.3357142857142857,0.1285714285714286
001000000,O,1,0.6071428571428571,0.2642857142857143,0.1285714285714286
010000000,O,1,0.5357142857142857,0.3357142857142857,0.1285714285714286
100000000,O,1,0.6071428571428571,0.26428571428571423,0.1285714285714286
-100000001,X,2,0.5428571428571428,0.2571428571428571,0.2
-100000010,X,2,0.5428571428571428,0.39999999999999997,0.05714285714285715
-100000100,X,2,0.5857142857142856,0.3,0.1142857142857143
-100001000,X,2,0.5428571428571429,0.4,0.057142857142857155
-100010000,X,2,0.6571428571428573,0.22857142857142856,0.1142857142857143
-100100000,X,2,0.5,0.32857142857142857,0.17142857142857143
-101000000,X,2,0.5857142857142856,0.29999999999999993,0.11428571428571428
-110000000,X,2,0.5,0.32857142857142857,0.17142857142857146
0-10000001,X,2,0.6857142857142858,0.2571428571428571,0.05714285714285715
0-10000010,X,2,0.5857142857142856,0.21428571428571436,0.19999999999999998
0-10000100,X,2,0.6857142857142857,0.2571428571428572,0.057142857142857155
0-10001000,X,2,0.6,0.2857142857142857,0.1142857142857143
0-10010000,X,2,0.7285714285714285,0.15714285714285717,0.1142857142857143
0-10100000,X,2,0.6,0.2857142857142857,0.11428571428571428
0-11000000,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857146
00-1000001,X,2,0.5857142857142856,0.3,0.1142857142857143
00-1000010,X,2,0.5428571428571429,0.39999999999999997,0.057142857142857155
00-1000100,X,2,0.5428571428571429,0.2571428571428572,0.19999999999999998
00-1001000,X,2,0.5,0.3285714285714286,0.17142857142857146
00-1010000,X,2,0.6571428571428571,0.22857142857142856,0.11428571428571428
00-1100000,X,2,0.5428571428571428,0.4,0.057142857142857155
000-100001,X,2,0.6857142857142858,0.2571428571428571,0.057142857142857155
000-100010,X,2,0.6,0.2857142857142857,0.11428571428571428
000-100100,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857146
000-101000,X,2,0.5857142857142856,0.21428571428571427,0.19999999999999998
000-110000,X,2,0.7285714285714285,0.15714285714285717,0.1142857142857143
0000-10001,X,2,0.48571428571428577,0.3714285714285714,0.14285714285714285
0000-10010,X,2,0.41428571428571426,0.4428571428571428,0.14285714285714285
0000-10100,X,2,0.48571428571428565,0.3714285714285714,0.14285714285714285
0000-11000,X,2,0.4142857142857143,0.4428571428571429,0.14285714285714285
00000-1001,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857143
00000-1010,X,2,0.6,0.2857142857142857,0.11428571428571428
00000-1100,X,2,0.6857142857142858,0.2571428571428571,0.05714285714285715
000000-101,X,2,0.5857142857142856,0.3,0.11428571428571428
000000-110,X,2,0.5,0.3285714285714286,0.17142857142857143
0000000-11,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857143
00000001-1,X,2,0.49999999999999994,0.32857142857142857,0.1714285714285714
0000001-10,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857143
00000010-1,X,2,0.5857142857142856,0.3,0.11428571428571428
000001-100,X,2,0.5428571428571429,0.4,0.05714285714285715
0000010-10,X,2,0.6,0.2857142857142857,0.1142857142857143
00000100-1,X,2,0.5,0.32857142857142857,0.17142857142857143
00001-1000,X,2,0.7285714285714285,0.1571428571428571,0.1142857142857143
000010-100,X,2,0.6571428571428571,0.2285714285714286,0.1142857142857143
0000100-10,X,2,0.7285714285714286,0.1571428571428571,0.11428571428571428
00001000-1,X,2,0.6571428571428573,0.2285714285714286,0.1142857142857143
0001-10000,X,2,0.41428571428571426,0.4428571428571429,0.14285714285714285
00010-1000,X,2,0.5857142857142856,0.21428571428571427,0.19999999999999998
000100-100,X,2,0.5,0.3285714285714286,0.17142857142857143
0001000-10,X,2,0.6,0.2857142857142857,0.1142857142857143
00010000-1,X,2,0.5428571428571428,0.39999999999999997,0.05714285714285715
001-100000,X,2,0.6857142857142858,0.2571428571428572,0.05714285714285715
0010-10000,X,2,0.48571428571428565,0.37142857142857144,0.14285714285714285
00100-1000,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857143
001000-100,X,2,0.5428571428571428,0.2571428571428572,0.19999999999999998
0010000-10,X,2,0.6857142857142858,0.2571428571428572,0.05714285714285714
00100000-1,X,2,0.5857142857142857,0.3,0.1142857142857143
01-1000000,X,2,0.49999999999999994,0.32857142857142857,0.17142857142857146
010-100000,X,2,0.6,0.2857142857142857,0.11428571428571428
0100-10000,X,2,0.41428571428571426,0.4428571428571428,0.14285714285714285
01000-1000,X,2,0.5999999999999999,0.2857142857142857,0.1142857142857143
010000-100,X,2,0.5428571428571428,0.39999999999999997,0.05714285714285714
0100000-10,X,2,0.5857142857142857,0.21428571428571427,0.2
01000000-1,X,2,0.5428571428571428,0.39999999999999997,0.05714285714285714
1-10000000,X,2,0.6428571428571429,0.1857142857142857,0.17142857142857146
10-1000000,X,2,0.5857142857142856,0.3,0.11428571428571428
100-100000,X,2,0.6428571428571429,0.18571428571428572,0.17142857142857143
1000-10000,X,2,0.4857142857142857,0.3714285714285714,0.14285714285714285
10000-1000,X,2,0.6857142857142857,0.2571428571428572,0.05714285714285714
100000-100,X,2,0.5857142857142856,0.29999999999999993,0.1142857142857143
1000000-10,X,2,0.6857142857142857,0.2571428571428572,0.05714285714285714
10000000-1,X,2,0.5428571428571429,0.2571428571428572,0.19999999999999998
-100000011,O,3,0.561111111111111,0.33888888888888885,0.09999999999999999
-100000101,O,3,0.6333333333333333,0.16666666666666666,0.19999999999999996
-100000110,O,3,0.6333333333333333,0.3666666666666667,0.0
-100001001,O,3,0.5611111111111112,0.33888888888888885,0.10000000000000002
-100001010,O,3,0.4388888888888889,0.5611111111111111,0.0
-100001100,O,3,0.5111111111111111,0.3888888888888889,0.10000000000000002
-100010001,O,3,0.48888888888888893,0.3111111111111111,0.19999999999999998
-100010010,O,3,0.6611111111111111,0.28888888888888886,0.05000000000000001
-100010100,O,3,0.7111111111111112,0.18888888888888888,0.10000000000000002
-100011000,O,3,0.6611111111111111,0.2888888888888889,0.05000000000000001
-100100001,O,3,0.4611111111111111,0.2388888888888889,0.3
-100100010,O,3,0.4611111111111111,0.43888888888888894,0.10000000000000002
-100100100,O,3,0.39444444444444443,0.45555555555555555,0.15000000000000002
-100101000,O,3,0.5333333333333333,0.4166666666666667,0.05000000000000001
-100110000,O,3,0.6833333333333332,0.16666666666666666,0.15
-101000001,O,3,0.6333333333333334,0.16666666666666666,0.19999999999999998
-101000010,O,3,0.5111111111111111,0.3888888888888889,0.10000000000000002
-101000100,O,3,0.6833333333333332,0.26666666666666666,0.05000000000000001
-101001000,O,3,0.6333333333333333,0.3666666666666667,0.0
-101010000,O,3,0.7111111111111111,0.18888888888888888,0.09999999999999999
