state,to_move,layer,P(X wins),P(O wins),P(draws)
XOXOXOX..,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXOOXX,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXOOX.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXOXXO,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXO.XO,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXO.X.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXO..X,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXO...,X,6,1.0000000000,0.0000000000,0.0000000000
XOXOXXOOX,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXXOO.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXXOXO,O,9,0.0000000000,0.0000000000,1.0000000000
XOXOXXO.O,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOXXO..,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.OXO,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOX.OX.,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.O.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX.O..,X,6,0.6666666667,0.0000000000,0.3333333333
XOXOXXXOO,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXX.OO,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXX.O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX.XO.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..OX,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..O.,X,6,1.0000000000,0.0000000000,0.0000000000
XOXOXX..O,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..XO,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX...O,X,6,0.6666666667,0.0000000000,0.3333333333
XOXOX....,O,5,0.8333333333,0.0000000000,0.1666666667
XOXOOXXO.,X,8,0.0000000000,1.0000000000,0.0000000000
XOXOOXXXO,O,9,0.0000000000,0.0000000000,1.0000000000
XOXOOXX.O,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOOXX..,O,7,0.0000000000,0.5000000000,0.5000000000
XOXOOXOXX,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOOXOX.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOOX.XO,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOOX.X.,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOOX..X,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOOX...,X,6,0.5000000000,0.1666666667,0.3333333333
XOXO.XOXO,X,8,0.0000000000,0.0000000000,1.0000000000
