idx,cluster,ply,to_move,image
0,0,0,X,layout_moves_00ply_00000_00000_X.png
1,0,1,O,layout_moves_01ply_00001_00000_O.png
2,0,1,O,layout_moves_01ply_00002_00000_O.png
3,1,1,O,layout_moves_01ply_00016_00000_O.png
4,0,2,X,layout_moves_02ply_00001_00002_X.png
5,0,2,X,layout_moves_02ply_00001_00004_X.png
6,1,2,X,layout_moves_02ply_00001_00016_X.png
7,0,2,X,layout_moves_02ply_00001_00032_X.png
8,8,2,X,layout_moves_02ply_00001_00256_X.png
9,0,2,X,layout_moves_02ply_00002_00001_X.png
10,0,2,X,layout_moves_02ply_00002_00008_X.png
11,1,2,X,layout_moves_02ply_00002_00016_X.png
12,6,2,X,layout_moves_02ply_00002_00064_X.png
13,0,2,X,layout_moves_02ply_00002_00128_X.png
14,1,2,X,layout_moves_02ply_00016_00001_X.png
15,1,2,X,layout_moves_02ply_00016_00002_X.png
16,0,3,O,layout_moves_03ply_00003_00004_O.png
17,0,3,O,layout_moves_03ply_00003_00008_O.png
18,1,3,O,layout_moves_03ply_00003_00016_O.png
19,0,3,O,layout_moves_03ply_00003_00032_O.png
20,0,3,O,layout_moves_03ply_00003_00064_O.png
21,0,3,O,layout_moves_03ply_00003_00128_O.png
22,8,3,O,layout_moves_03ply_00003_00256_O.png
23,6,3,O,layout_moves_03ply_00005_00002_O.png
24,6,3,O,layout_moves_03ply_00005_00008_O.png
25,9,3,O,layout_moves_03ply_00005_00016_O.png
26,6,3,O,layout_moves_03ply_00005_00064_O.png
27,6,3,O,layout_moves_03ply_00005_00128_O.png
28,0,3,O,layout_moves_03ply_00010_00001_O.png
29,0,3,O,layout_moves_03ply_00010_00004_O.png
30,1,3,O,layout_moves_03ply_00010_00016_O.png
31,0,3,O,layout_moves_03ply_00010_00032_O.png
32,6,3,O,layout_moves_03ply_00010_00256_O.png
33,0,3,O,layout_moves_03ply_00012_00001_O.png
34,0,3,O,layout_moves_03ply_00012_00002_O.png
35,1,3,O,layout_moves_03ply_00012_00016_O.png
36,0,3,O,layout_moves_03ply_00012_00032_O.png
37,8,3,O,layout_moves_03ply_00012_00064_O.png
38,0,3,O,layout_moves_03ply_00012_00128_O.png
39,0,3,O,layout_moves_03ply_00012_00256_O.png
40,1,3,O,layout_moves_03ply_00017_00002_O.png
41,4,3,O,layout_moves_03ply_00017_00004_O.png
42,1,3,O,layout_moves_03ply_00017_00032_O.png
43,8,3,O,layout_moves_03ply_00017_00256_O.png
44,1,3,O,layout_moves_03ply_00018_00001_O.png
45,1,3,O,layout_moves_03ply_00018_00008_O.png
46,9,3,O,layout_moves_03ply_00018_00064_O.png
47,1,3,O,layout_moves_03ply_00018_00128_O.png
48,0,3,O,layout_moves_03ply_00040_00001_O.png
49,0,3,O,layout_moves_03ply_00040_00002_O.png
50,1,3,O,layout_moves_03ply_00040_00016_O.png
51,5,3,O,layout_moves_03ply_00068_00001_O.png
52,8,3,O,layout_moves_03ply_00068_00002_O.png
53,8,3,O,layout_moves_03ply_00068_00016_O.png
54,6,4,X,layout_moves_04ply_00003_00012_X.png
55,4,4,X,layout_moves_04ply_00003_00020_X.png
56,1,4,X,layout_moves_04ply_00003_00024_X.png
57,0,4,X,layout_moves_04ply_00003_00036_X.png
58,0,4,X,layout_moves_04ply_00003_00040_X.png
59,1,4,X,layout_moves_04ply_00003_00048_X.png
60,6,4,X,layout_moves_04ply_00003_00068_X.png
61,0,4,X,layout_moves_04ply_00003_00072_X.png
62,4,4,X,layout_moves_04ply_00003_00080_X.png
63,0,4,X,layout_moves_04ply_00003_00096_X.png
64,0,4,X,layout_moves_04ply_00003_00132_X.png
65,0,4,X,layout_moves_04ply_00003_00136_X.png
66,1,4,X,layout_moves_04ply_00003_00144_X.png
67,0,4,X,layout_moves_04ply_00003_00160_X.png
68,0,4,X,layout_moves_04ply_00003_00192_X.png
69,5,4,X,layout_moves_04ply_00003_00260_X.png
70,8,4,X,layout_moves_04ply_00003_00264_X.png
71,8,4,X,layout_moves_04ply_00003_00272_X.png
72,8,4,X,layout_moves_04ply_00003_00288_X.png
73,5,4,X,layout_moves_04ply_00003_00320_X.png
74,8,4,X,layout_moves_04ply_00003_00384_X.png
75,0,4,X,layout_moves_04ply_00005_00010_X.png
76,4,4,X,layout_moves_04ply_00005_00018_X.png
77,9,4,X,layout_moves_04ply_00005_00024_X.png
78,2,4,X,layout_moves_04ply_00005_00040_X.png
79,6,4,X,layout_moves_04ply_00005_00066_X.png
80,6,4,X,layout_moves_04ply_00005_00072_X.png
81,9,4,X,layout_moves_04ply_00005_00080_X.png
82,6,4,X,layout_moves_04ply_00005_00096_X.png
83,0,4,X,layout_moves_04ply_00005_00130_X.png
84,6,4,X,layout_moves_04ply_00005_00136_X.png
85,4,4,X,layout_moves_04ply_00005_00144_X.png
86,6,4,X,layout_moves_04ply_00005_00192_X.png
