beta,ply,role,mae
0.0,0,X,0.0019842321053147316
0.0,0,O,0.0019842321053147316
0.0,1,X,0.00247440068051219
0.0,1,O,0.0010388129157945514
0.0,2,X,0.0019842321053147316
0.0,2,O,0.0019842321053147316
0.0,3,X,0.00247440068051219
0.0,3,O,0.0010388129157945514
0.0,4,X,0.0019842321053147316
0.0,4,O,0.0019842321053147316
0.0,5,X,0.002396623371168971
0.0,5,O,0.0011406540870666504
0.0,6,X,0.00806597899645567
0.0,6,O,0.00806597899645567
0.0,7,X,0.0022455917205661535
0.0,7,O,0.001323312520980835
0.0,8,X,0.0022176967468112707
0.0,8,O,0.0022176967468112707
0.0,9,X,0.0
0.0,9,O,0.0
0.25,0,X,0.0020892752800136805
0.25,0,O,0.0020892752800136805
0.25,1,X,0.002579430816695094
0.25,1,O,0.001140938838943839
0.25,2,X,0.0020892752800136805
0.25,2,O,0.0020892752800136805
0.25,3,X,0.002579430816695094
0.25,3,O,0.001140938838943839
0.25,4,X,0.0020892752800136805
0.25,4,O,0.0020892752800136805
0.25,5,X,0.002511997940018773
0.25,5,O,0.0012527969665825367
0.25,6,X,0.002169357379898429
0.25,6,O,0.002169357379898429
0.25,7,X,0.002426068065688014
0.25,7,O,0.0014987322501838207
0.25,8,X,0.0024802882689982653
0.25,8,O,0.0024802882689982653
0.25,9,X,0.0
0.25,9,O,0.0
0.5,0,X,0.0021943384781479836
0.5,0,O,0.0021943384781479836
0.5,1,X,0.0026845401152968407
0.5,1,O,0.0012430647620931268
0.5,2,X,0.0021943384781479836
0.5,2,O,0.0021943384781479836
0.5,3,X,0.0026845401152968407
0.5,3,O,0.0012430647620931268
0.5,4,X,0.0021943384781479836
0.5,4,O,0.0021943384781479836
0.5,5,X,0.011352532543241978
0.5,5,O,0.001364933094009757
0.5,6,X,0.0022961695212870836
0.5,6,O,0.0022961695212870836
0.5,7,X,0.002606564201414585
0.5,7,O,0.0016741553554311395
0.5,8,X,0.002742893062531948
0.5,8,O,0.002742893062531948
0.5,9,X,0.0
0.5,9,O,0.0
0.75,0,X,0.0022993749007582664
0.75,0,O,0.0022993749007582664
0.75,1,X,0.0027895967941731215
0.75,1,O,0.0013452006969600916
0.75,2,X,0.0022993749007582664
0.75,2,O,0.0022993749007582664
0.75,3,X,0.0027895967941731215
0.75,3,O,0.0013452006969600916
0.75,4,X,0.0022993749007582664
0.75,4,O,0.0022993749007582664
0.75,5,X,0.0027427540626376867
0.75,5,O,0.0014770759735256433
0.75,6,X,0.0024229155387729406
0.75,6,O,0.0024229155387729406
0.75,7,X,0.0027869343757629395
0.75,7,O,0.001849618274718523
0.75,8,X,0.0030055707320570946
0.75,8,O,0.0030055707320570946
0.75,9,X,0.0
0.75,9,O,0.0
1.0,0,X,0.011129630729556084
1.0,0,O,0.011129630729556084
1.0,1,X,0.0028946930542588234
1.0,1,O,0.0014473298797383904
1.0,2,X,0.011129630729556084
1.0,2,O,0.011129630729556084
1.0,3,X,0.0028946930542588234
1.0,3,O,0.0014473298797383904
1.0,4,X,0.011129630729556084
1.0,4,O,0.011129630729556084
1.0,5,X,0.0028580096550285816
1.0,5,O,0.0015892022056505084
1.0,6,X,0.0025497078895568848
1.0,6,O,0.0025497078895568848
1.0,7,X,0.0029673906974494457
1.0,7,O,0.00202504126355052
1.0,8,X,0.0032680565491318703
1.0,8,O,0.0032680565491318703
1.0,9,X,0.0
1.0,9,O,0.0
